Area,Rooms,Price
1800,8,1175000
2160,7,1505000
1000,4,1290000
1034,5,1000000
1231,5,1375000
1092,4,1262500
1525,6,1300000
1030,4,876500
1088,5,875000
952,4,1125000
1406,5,1150000
5085,15,1550000
1546,7,1075000
1125,4,1150000
958,4,1150000
1078,4,1400000
1717,13,1963000
2002,9,2350000
1175,5,720000
1450,6,1200000
2100,7,1300000
1753,7,950000
1077,6,1045000
1175,5,1000000
2096,8,2400000
2230,9,7450000
1594,8,935000
1675,6,1950000
1440,5,1380000
1210,5,700000
1465,7,990000
3851,13,6500000
4158,15,2240000
1500,6,1265000
5590,11,8400000
995,5,680000
1575,7,1250000
1379,6,1389000
2008,7,800000
3974,12,2400000
830,5,665000
1480,7,570000
1365,9,1050000
1625,6,1310000
541,3,695000
1056,3,1200000
900,4,825000
775,4,1250000
1087,4,720000
2781,8,1054000
1166,4,1570000
1466,6,1370000
800,4,718000
3000,7,1625000
4000,14,1706000
1375,10,1900000
1628,6,1200000
4400,9,5500000
1668,8,1495000
1370,8,930000
1125,5,1040000
592,2,530000
1010,4,750000
1056,2,975000
1488,4,1475000
2510,10,2278000
2323,6,2080000
2255,7,2500000
750,3,555000
823,3,750000
642,3,655000
2150,10,1735000
1158,6,650000
1325,5,700000
1061,5,838000
1095,5,880000
693,4,310000
1100,5,1420000
1370,4,1100000
1747,9,1325000
2100,9,1425000
1926,8,1655000
3114,8,2250000
1250,7,610000
1875,7,1589000
688,3,510000
1227,3,641000
2500,7,1650000
2624,7,4500000
1250,5,660000
2504,7,1651000
470,3,550000
1297,6,980000
900,4,897000
4840,12,6100000
1092,5,640000
977,5,1064000
1790,7,1350000
2017,6,2600000
1063,5,660000
1080,5,978000
795,3,1124500
1239,4,1500000
809,4,675000
1467,5,1525000
2371,6,2075000
1466,7,860000
1435,6,950000
1590,6,1050000
830,3,670000
833,4,760000
2400,6,1800000
410,1,525000
855,4,778000
706,2,738000
1986,7,2720000
1200,5,1100000
1900,8,1538000
1858,8,1400000
1009,4,1000000
1900,8,880000
1215,5,1198000
1350,6,821500
1330,5,1418000
593,4,675000
1350,5,1050000
1625,6,1900000
799,4,949000
900,4,1098000
2542,6,1665000
1860,5,3195000
1440,6,2000000
1001,4,756000
1960,6,1800000
2650,8,2100000
2545,8,2495000
1270,6,958000
1331,5,968000
2260,9,1350000
2102,11,310000
4017,11,4300000
2580,8,1880000
1950,9,655000
2956,8,1360000
600,4,899000
1600,5,1400000
1625,10,2250000
2000,7,2600000
1309,4,1340000
2041,7,1450000
1720,7,2400000
808,3,825000
1332,5,1350000
1408,5,1853000
1300,6,905000
1360,7,1010000
560,4,600000
2180,6,1230000
1118,4,1125000
939,4,955000
1000,5,1085000
1386,6,1360000
538,3,625000
582,2,650000
1106,5,895000
1853,6,950000
1135,5,895000
1675,6,2550000
2755,8,1695000
952,5,810000
747,3,890000
511,2,665000
1206,4,1278000
1273,4,1450000
1275,5,1025000
904,3,1266000
5000,7,1405000
1744,7,1880000
2000,7,2500000
1214,5,625000
1518,6,1438000
2730,8,1460000
1756,7,760000
1886,6,1250000
1450,6,1250000
1313,6,1303500
1876,6,3000000
2155,5,1750000
1310,6,900000
825,4,642000
1207,4,800000
2269,6,1255000
1635,10,1575000
887,5,725000
1532,6,1300000
1434,5,2800000
1740,5,2850000
1700,5,2162500
900,6,760000
1328,5,918000
1300,5,945000
2151,8,1809000
1374,6,1280000
1290,6,998500
1204,5,1100000
1475,7,1175000
1385,6,680000
1412,5,755000
2198,4,1475000
1670,6,2550000
998,3,875000
1177,5,1180000
1619,3,2175000
653,3,665000
3034,9,950000
1308,7,1000000
1400,5,1250000
1861,8,1500000
1278,6,1080000
1778,6,1415000
2515,7,2000000
878,5,1265000
1476,5,1281000
825,3,875000
713,3,1029000
695,3,731000
884,3,900000
2272,6,2735000
1115,5,1680000
1467,5,1700000
2770,8,2500000
1650,7,1060000
1655,7,1175000
1312,5,1900000
1639,7,925000
4883,11,2700000
1550,6,1080000
4017,10,3595000
1048,2,835000
1586,6,850000
1000,3,750000
1275,5,1530000
3202,11,1500000
3212,12,4000000
1755,6,1285000
667,3,535000
1400,8,925000
600,3,650000
1215,4,975000
995,4,1249000
1000,5,1317500
1098,4,1095000
1325,5,1650000
994,4,1220000
596,4,486000
1416,6,1052000
1200,5,1108000
1090,5,1593000
3485,7,5050000
1340,5,981500
2084,6,1525000
1540,6,1860000
1779,11,1865000
1060,4,1499000
894,3,600000
1361,5,1185000
1176,4,1080000
1048,5,700000
1070,5,999000
4275,16,1490000
2678,8,2290000
3455,7,4800000
1738,6,830000
2115,6,1880000
1768,8,1510000
1630,6,1475000
2209,6,1699000
1484,7,1265000
1300,7,1098000
2020,9,2150000
1208,5,1180000
986,4,1275500
1287,6,1548000
750,5,520000
4136,15,1300000
770,4,738000
1350,4,985000
1791,7,1250000
830,3,605000
984,5,720000
853,4,900000
875,4,1325000
1125,5,647500
837,4,839500
994,5,800000
2500,8,1830000
9190,16,13075000
1301,4,765000
1030,6,600000
856,4,875000
1267,4,1100000
1000,4,800000
1232,7,1050000
1713,6,1137500
1150,5,1150000
1368,7,935000
1786,6,1900000
890,4,710000
1435,7,950000
881,4,825000
750,5,895000
1075,5,895000
1644,5,1275000
1250,6,1405000
1740,5,1575000
1215,4,3800000
1500,6,795000
1574,7,815000
691,3,915000
1567,6,2100000
1084,5,1315000
2100,6,1994000
928,5,1095000
1405,6,1175000
3040,12,1200000
2066,7,860000
1464,6,1090000
1064,5,728000
1286,4,1275000
1961,4,3800000
1897,6,550000
918,5,950000
1717,8,1006000
1718,5,1566000
3548,7,2150000
1082,4,1050000
1034,5,1175000
2050,8,1835000
1775,6,1200000
2057,5,1500000
1147,6,1000000
606,4,840000
837,3,1050000
900,4,875000
1140,5,1425500
860,5,1800000
1257,6,890000
1119,5,1225000
2760,8,3800000
1250,5,1002000
1150,5,1099000
886,4,691000
1655,6,1038000
1072,5,825000
765,3,790000
822,3,759000
1030,4,1155000
645,3,790000
677,3,798000
772,3,795000
880,4,1225000
4650,11,9708000
650,4,1950000
1913,5,1800000
1837,8,4100000
708,3,795000
2378,6,1600000
3094,8,2350000
1585,5,1800000
1085,5,955000
3905,13,1810000
1480,5,1450000
2381,9,1995000
1850,5,1438000
1325,5,1525000
1000,4,900000
2083,8,920000
1275,4,905000
1214,5,1003000
1303,5,1180000
1300,6,990000
1941,6,1275000
1165,4,1295000
1310,6,1725000
1054,5,1275000
753,4,770000
1500,8,1760000
1000,4,750000
1290,6,850000
1770,7,981000
1078,6,1250000
2750,9,3900000
6800,13,17100000
1150,5,1025000
1675,6,1500000
744,3,599000
781,4,835000
928,4,1149000
1764,5,2300000
1075,6,975000
1960,6,2377500
1275,5,700000
2236,7,1500000
1880,6,1830000
1050,9,928000
888,4,960000
3500,13,2674000
2000,12,1610000
1070,4,1000000
1845,6,1335000
2327,9,1700000
728,4,1060000
1237,6,1204000
3692,7,2375000
800,2,800000
1102,6,900000
1255,4,905000
748,4,815000
1165,4,975000
1360,5,720000
1750,6,765000
1655,7,828000
1771,6,975000
2280,7,2400000
1490,5,1020000
2570,8,1030000
1216,5,1509000
1250,5,1575000
1800,7,1750000
1130,5,892000
1325,6,1220000
1647,6,2500000
1648,6,1300000
3495,9,2385000
950,4,1150000
2271,9,1555000
670,3,515000
1063,5,488000
1550,5,975000
848,4,1700000
650,3,690000
1675,8,1083500
2400,6,1625000
1942,8,1667500
2350,8,860000
1161,4,1950100
1662,5,1250000
925,4,570000
2256,8,1650000
2281,8,1290000
2666,8,2021500
1212,6,575000
1218,6,1230000
1890,6,1220000
1700,5,1300000
1465,5,2900000
1305,5,1150000
839,4,640000
1519,7,1475000
1990,7,2650000
2250,7,1310000
1275,5,780000
2754,7,1800000
1213,6,1192500
1047,1,875000
809,3,1425000
1115,4,1250000
1019,4,1300000
1488,4,1475000
1003,4,1210000
950,5,860000
1154,5,1775000
1810,9,2000000
2160,6,3650000
1508,6,1250000
1500,5,1575000
1482,5,868000
1056,5,850000
1263,6,1450000
1162,5,700000
552,2,720000
924,7,770000
966,5,1230000
897,3,853000
1328,6,1500000
1362,6,1535000
2134,7,1150000
2935,9,4100000
420,2,412000
1367,5,950000
1152,5,1665000
1430,7,375000
875,4,705000
1235,5,1680000
7375,16,5530000
2040,7,5600000
1405,7,1875000
967,5,659000
1990,6,1380000
3027,8,2105000
830,3,685000
956,5,908000
1001,5,2599000
789,4,845000
1075,4,950000
1083,4,1110000
950,4,1095000
1118,5,1190000
1160,5,1375000
1280,5,718000
1410,5,2250000
1140,5,5700000
828,5,1271500
1386,5,1461500
1463,5,1675000
2442,7,4150000
1629,7,665000
2730,9,1450000
1700,6,2050000
931,5,1125000
2110,8,2257000
4305,10,2350000
1412,5,1850000
2146,8,1300000
3500,11,1600000
962,4,950000
1868,7,1650000
1260,6,1175000
1655,6,1700000
1960,5,2750000
1399,4,1400000
1925,12,950000
1200,5,1200000
1267,7,2070000
781,4,495000
878,5,638500
634,2,710000
800,4,760000
1170,5,830000
1381,5,1551000
1354,6,1400000
1798,2,1475000
2250,9,522000
2253,13,800000
5894,11,9950000
2228,8,1055000
2230,8,1250000
3766,12,2750000
2500,8,4250000
1060,5,1010000
836,4,450000
1247,5,1351000
668,3,625000
4000,10,8125000
1592,8,1135000
1943,6,1950000
2082,7,2410000
1199,5,1200000
2150,8,5410000
950,5,910000
2251,7,2682000
887,4,720000
1339,6,750000
1238,4,1675000
700,3,749000
958,4,870000
793,4,895000
1462,5,1000000
778,3,850000
1040,4,1227000
1737,6,1500000
1575,6,1637500
1395,7,1215000
1027,5,981000
1720,5,1388000
1764,6,1800000
3423,8,3295000
3000,10,4100000
1160,6,1225000
1670,6,2200000
1856,6,2800000
2670,8,3300000
1047,4,1205000
936,4,830000
1050,4,775000
1011,4,1310000
1412,5,1810000
791,3,540000
665,4,975000
1865,5,1680000
1600,4,1800000
1129,6,1125000
1162,5,950000
1181,6,1008000
1194,6,1250000
3345,10,2350000
1054,5,1200000
1526,6,1024000
1274,7,1400000
832,4,778000
670,3,799000
1085,4,1140000
1476,5,1400000
745,3,325000
1553,6,1250000
1490,9,1510000
1261,6,1540000
3220,11,1550000
1509,6,1650000
1844,9,1900000
1375,5,575000
1350,5,920000
1800,6,960000
1125,5,1075000
1214,5,1150000
1455,7,1787500
496,2,435000
2250,6,2600000
832,5,777000
1240,6,950000
2225,7,1111000
2075,8,1188000
581,3,825000
1970,9,1075000
1431,6,1300000
956,4,725000
837,4,850000
1255,5,1410000
915,5,991000
1040,5,1100000
1493,7,1398000
1660,6,1510000
2900,10,1613000
875,4,690000
2270,7,2200000
3675,10,6800000
1147,5,1100000
1050,5,1050000
2131,5,1635000
1025,6,1100000
821,5,670000
2916,10,1650000
1536,8,880000
1324,6,1325000
1800,7,1400000
1770,8,1200000
2565,9,2500000
691,4,845000
1427,6,1120000
1480,6,1510000
1200,5,1105000
1150,6,1045000
1450,6,1200000
1730,6,2500000
1175,5,595000
1897,7,1208000
2050,8,1350000
3325,9,3250000
2024,9,2250000
2460,10,3800000
690,3,347500
1173,5,1225000
1400,6,1050000
1009,5,950000
5420,14,8001000
1340,6,1270000
1570,5,1300000
594,2,466000
453,2,640000
2318,6,1850000
1070,5,1250000
3528,10,3500000
1350,6,1010000
1371,5,1110000
2385,10,1500000
1415,5,1168000
2400,7,1300000
1382,7,1020000
1714,5,2100000
1626,7,700000
936,4,1175000
2570,9,1775000
2758,5,2325000
1400,5,1468000
2205,11,1495000
950,4,1060000
985,5,675000
1068,4,679000
1500,7,1525000
1096,5,840000
1047,5,980000
1070,6,1300800
650,10,1188000
1498,5,2000000
1394,6,1250500
1754,5,1575000
2200,6,2651000
1880,7,2327500
1228,5,810000
2050,6,1320000
1516,6,1380000
1049,4,1175000
975,5,1250000
556,2,612000
1116,4,1300000
1502,4,1400000
1230,5,1458000
1006,4,1250000
875,5,1150000
1460,6,1510000
1940,6,2850000
628,3,746000
1514,5,1475000
1336,6,1150000
1295,6,1140000
1171,4,2300000
860,4,620000
938,4,820000
962,3,900000
1067,5,920000
1319,5,920000
1400,6,1010000
2110,8,1148000
1275,6,1150000
1400,5,1200800
1487,6,1240000
1900,7,1300000
1237,5,1300000
1764,6,1375000
1718,6,1450000
3350,11,1475000
1770,6,1600000
2536,7,1875000
2203,2,2100000
1875,7,2180000
2100,7,2200000
2370,11,2265000
2707,10,3750000
3801,8,5500000
1200,6,788000
775,4,825000
2716,7,1050000
1125,5,1090000
1075,4,1105000
1852,7,1150000
1446,5,1265000
3024,11,1895000
1460,6,2380000
745,4,540000
555,3,554000
950,4,619000
800,5,622500
616,3,725000
1375,7,765000
1318,7,775000
1300,6,800000
963,4,900000
1625,6,915000
1485,6,925000
830,5,985000
1150,5,1150000
1103,4,1220000
781,5,1230000
1398,5,1300000
2191,6,1395000
1393,6,1530000
1131,5,1500000
2606,7,1767500
2062,8,1825000
2220,7,2000000
2127,7,2825000
3100,9,4200000
4800,9,6500000
669,3,581000
1210,6,690000
539,2,695000
1151,6,775000
779,4,797000
1100,6,805000
811,3,845000
928,5,875000
1200,6,911000
1990,3,935000
1300,6,1000000
1977,11,1035000
1,4,1231000
1348,6,1410000
1284,5,1461000
5972,9,9000000
713,3,1029000
1033,5,1074000
1173,6,1150000
2228,10,1875000
1320,5,400000
1145,6,1000000
1952,5,1550000
6317,20,2700000
1250,5,1475000
4567,23,3500000
2913,11,1100000
2561,9,1900000
2777,10,1975000
1252,4,1575000
1735,6,902000
1850,6,915000
1299,5,920000
1159,4,1050000
1150,5,1495000
1280,6,1495000
975,4,1050000
1520,5,1629000
800,4,855000
1250,6,1520000
3189,7,2350000
862,3,695000
1153,7,1150000
1184,5,1800000
863,4,745000
1131,4,1059300
815,4,815000
900,4,1050000
833,5,826000
1025,6,975000
1,6,1200000
1780,7,1675000
1740,6,2075000
2234,9,925000
2594,9,2410000
1084,5,1320000
1328,5,1600500
1107,6,554000
1980,7,1510000
1332,6,940000
1401,4,1170000
2600,6,1300000
1992,10,1560000
1510,7,6995000
2473,9,950000
1180,4,1050000
713,3,875000
824,4,925000
706,5,890000
1200,6,1250000
1120,4,1565000
3400,9,1850000
1562,6,2200000
1300,6,1000000
1615,7,1138000
2900,10,3600000
4480,8,1095000
3221,9,1805000
1655,7,780000
1175,4,840000
2075,9,1615150
1474,5,800000
1829,5,1200000
1653,5,1650000
1315,3,1350000
750,6,789000
951,5,980000
1281,5,1200000
2300,11,1600000
1449,5,1050000
1075,5,1066000
1555,5,1590000
1703,6,1388000
597,3,888000
1404,3,975000
1065,2,1260000
1958,4,625000
1600,7,1710000
1941,9,1540000
1190,5,1210000
1500,5,1325000
2635,6,4500000
3000,12,1075000
998,4,875000
1448,6,1400000
710,3,992000
1302,5,1400000
1230,5,1650000
1625,6,1900000
1769,5,2455000
1698,6,2500000
1457,4,1800000
983,3,1112000
1020,5,625000
975,4,701000
1650,8,850000
3184,9,4350000
2300,6,1538000
1140,5,1061000
1108,5,1198000
1550,6,1314000
800,4,900000
2036,9,2100000
1636,5,735000
2700,7,2010000
756,3,815000
1688,6,1085000
1600,7,1130000
1450,5,745000
1665,7,838000
1870,9,900234
1295,6,2000000
2500,6,2882000
1798,9,1250000
2590,8,1610000
800,4,888000
2630,6,670000
2780,7,1690000
2100,5,1750000
660,3,750000
477,3,640000
1770,8,1550000
1570,8,620000
1722,8,1200000
605,4,690000
1232,5,700000
1560,8,756000
745,4,342000
515,3,483000
965,5,1175000
2190,6,3000000
1585,6,2000000
1625,5,941000
1735,7,1328000
2202,7,2450000
2748,10,1450000
1775,6,703500
1572,6,1400000
1609,8,1685000
988,4,645000
1180,4,1825000
1440,5,1155000
1550,5,2400000
1444,5,935000
2460,7,1300000
1970,8,1090000
682,3,625000
1045,4,930000
1099,4,1348000
1442,4,1350000
1545,6,2285000
1833,6,1300000
2692,10,1580000
1086,5,782000
1300,4,815000
1001,4,940000
1298,7,1750000
1500,5,2500000
1053,5,1400000
1172,6,638000
1300,5,751000
1934,8,779000
767,5,995000
1000,4,388500
1125,5,1068000
1560,8,1200000
2000,7,1487500
1630,9,1055000
2333,6,1800000
2200,7,2700000
2879,9,3400000
1600,8,800000
1173,4,925000
1126,2,1090000
1828,6,2808000
1824,8,835000
1870,9,1015000
1402,7,1090000
1822,5,1210000
2080,8,1075000
846,4,675000
2795,9,2080000
794,4,535000
1753,6,1200000
2910,11,780000
678,4,838000
1200,5,870000
3320,12,1250000
1338,4,1225000
563,3,310000
1095,6,650000
3375,12,3200000
1244,3,1600000
2300,6,1850000
1696,8,730000
2262,8,2635000
732,2,894000
1575,5,905000
3000,12,2100000
1988,10,1775000
775,3,775000
1719,5,2800000
2125,8,1150000
775,4,708000
1486,7,975000
1058,6,1650000
1850,5,1700000
1100,7,1160000
1024,5,685000
2042,8,1350000
1146,5,1305000
995,4,1350000
2976,6,9500000
1400,4,1565000
1550,7,1127000
1350,6,1525000
1534,6,975000
995,5,660000
2000,7,800000
2500,10,2150000
1250,6,875000
1275,7,1038000
1660,6,1460000
1740,8,1500000
1105,5,1250000
793,3,710000
566,3,765000
469,2,830000
755,4,810000
2451,9,1108000
2490,7,1820000
1570,6,1700000
1400,5,1225000
1130,7,1560000
800,4,280000
1150,6,1008000
724,4,720000
1124,4,950000
616,3,730000
886,4,211000
1360,6,1005000
1238,7,1125000
1344,5,835000
1210,5,845000
1642,8,1200000
2040,8,3750000
2275,6,2830000
863,5,1150000
637,4,675000
1225,7,1210000
1288,8,1500000
2085,8,1900000
4500,13,1825000
1498,5,1195000
1500,5,1180000
1373,8,1325000
1595,7,1275000
1531,5,1350000
1530,7,1350000
1455,4,1200000
1243,4,1700000
1458,6,2535000
750,2,728000
1075,3,805000
1220,6,875000
2250,9,1500000
1864,7,1905000
903,4,870000
2000,8,1550000
1299,5,1225000
2614,23,1950000
7000,11,7500000
1175,5,825000
2062,7,1005000
1445,6,750000
3300,10,1000000
1444,4,1398000
1350,7,1350000
1062,4,1080000
1214,5,1350000
2360,8,1650000
2239,8,2508000
934,5,600000
830,3,590000
969,4,635000
1063,4,730000
778,4,842500
2081,9,1128000
2300,7,2100000
1209,5,1400500
1875,7,980000
1214,5,990000
1214,5,1150000
590,3,705000
1241,8,1450000
804,3,399000
605,4,799000
755,3,1325000
1165,4,1230000
832,5,900000
934,4,977000
1405,6,1166000
1250,6,535500
1250,5,795000
1600,7,1510000
712,5,899000
600,4,575000
563,2,578000
1903,7,2825000
2000,9,1020000
931,3,925000
1353,7,1200000
795,2,710000
671,2,710000
2460,8,2700000
1606,8,1900000
1125,6,1150000
2000,9,1400000
770,4,830000
1714,6,980000
1854,7,1075000
2592,9,1850000
1400,8,940000
3866,7,3295000
1000,5,3000
940,7,1270000
1200,6,1500000
6166,15,9998000
862,4,658000
1476,7,755000
1230,6,800000
1500,6,930000
677,3,585000
1679,6,2745000
1190,5,1350000
1125,5,1420000
790,5,840000
1153,5,1115000
1149,5,1200000
2150,10,1300000
722,3,770000
962,3,839500
1373,5,1400000
1755,6,1500000
1200,6,1850000
1764,7,1450000
686,3,628000
1909,10,1495000
830,3,725000
2010,7,1700000
1648,7,1150000
1006,4,1295000
1814,5,1630500
3377,10,2750000
540,4,200000
1000,4,1025000
2736,12,1530000
857,5,517000
875,4,630000
1700,5,690000
2850,9,3200000
1550,4,1950000
726,3,475000
2090,6,1500000
1150,5,1030000
2999,9,1480000
1260,5,527000
2396,8,1610000
1400,5,1603000
2517,8,1940000
1219,5,1225000
982,3,835500
1191,5,1403000
847,5,828000
1720,9,3750000
866,5,550000
900,5,978000
1084,5,1300000
1499,7,980000
681,3,525000
432,1,580000
862,4,855000
1850,9,1650000
1225,6,905000
780,4,863000
2460,6,3000000
810,4,738500
1185,5,1500000
843,4,475000
700,4,1275000
1881,8,2000000
1228,5,810500
853,4,950000
1245,5,1550000
862,4,1100000
862,4,630000
850,4,660000
1012,5,1225888
1622,9,1325000
2478,10,1275000
1504,7,1302500
1560,6,1615000
984,3,1005500
1674,6,730000
1594,5,770000
1258,6,1313000
1175,5,833000
1237,6,865000
1800,8,1375000
1335,5,1500000
1448,13,2260000
1929,9,1275000
2125,10,1575000
926,5,1015000
1900,6,1250000
1387,4,1450000
740,2,805000
877,5,1050000
664,4,1000000
1668,8,2300000
1175,5,1329000
3375,15,855000
1073,6,1260000
1240,6,895000
2600,6,1080000
1455,6,1125000
1806,7,1340000
1020,4,735000
767,3,575000
950,4,900000
1491,6,905000
2413,6,2130000
1450,6,1050000
1740,5,1325000
1825,6,1565000
2900,10,2250000
2309,12,1475000
1899,6,1780000
2062,7,975000
1726,7,560000
745,3,820000
1493,5,2150000
656,3,650000
2095,8,2100000
2234,3,1125000
1475,7,730000
1806,8,900000
825,4,952000
1435,6,985000
1975,7,1225000
1825,6,1408000
1879,6,750000
1430,4,776000
2000,7,2600000
1844,7,1612000
896,4,969000
1150,5,990000
940,4,392500
2295,7,2305000
1176,5,980000
1695,7,1700000
1725,7,491000
1575,7,749000
700,3,702000
1980,5,1901500
962,5,788000
1489,4,1200000
1462,6,2300000
1295,6,1560000
1864,7,2230000
3678,8,3300000
1002,7,1200000
1145,5,960000
2500,7,1650000
2420,7,3300000
1134,6,600000
1173,5,706000
775,3,656500
489,2,633000
1019,4,1986000
1286,4,1618000
840,4,750000
774,3,875000
1186,5,1000000
1324,6,1080000
1740,7,1225000
2208,10,2300500
3860,12,3300000
828,5,773500
1200,6,800000
1725,7,936000
1295,5,1575000
807,3,825000
1744,6,1380000
1585,5,1525000
3040,11,1100000
3000,10,2950000
3300,10,4500000
1600,6,1020000
2650,6,1250000
759,4,739000
826,5,925000
1317,5,550000
2066,6,2050000
936,4,1100000
1862,12,2125000
850,5,2225000
2086,5,2600000
842,3,505000
1144,5,720000
823,5,800000
1170,5,1490000
780,4,875000
980,5,700000
1960,8,960000
1036,4,1280000
1200,6,700000
1955,9,805000
1755,6,2050000
1510,7,2400500
2275,10,1890000
1443,5,1520000
1444,6,1665000
1095,5,830000
800,4,650000
750,3,873000
475,3,562000
1300,5,1450000
1180,6,1027500
880,4,1065000
2250,9,2000000
1880,6,1225000
825,5,937000
1569,7,1480000
2290,7,3100000
1850,7,1510000
2104,6,1480000
1263,5,728000
593,2,635000
1088,5,1275000
1200,5,1650000
1,3,1225000
2370,6,2625000
1945,5,2300000
2710,9,4050000
1200,5,999000
2250,6,1720000
950,4,805000
1188,5,910000
1065,4,938000
901,4,283500
1138,3,885000
1440,5,1395000
1876,6,1750500
1972,6,2500000
1350,5,954000
995,5,925000
2200,8,1225000
1525,5,1325000
1650,8,1585000
1428,6,2025000
972,6,880000
1345,6,1027000
1391,7,987000
1386,9,3400000
1125,5,725000
1776,7,758000
756,5,885000
1750,7,972000
2400,6,3115000
1325,9,1075000
1400,7,554000
2276,9,1150000
716,3,710000
1287,5,905000
2556,7,2000000
2250,9,925000
650,3,800000
2030,6,600000
1420,8,655000
950,4,610000
1994,8,1260000
1112,4,1300000
1108,8,750000
1462,7,950000
710,3,775000
1011,5,950000
1039,7,1125000
1437,6,1375000
1260,7,270000
1200,6,842000
1240,5,820000
1238,4,1745000
1003,6,735000
838,4,930000
980,5,1425000
1988,9,988888
960,5,1066000
1238,5,950000
3008,8,2600000
1960,7,1481500
2232,12,1695000
3992,12,3472000
1175,4,850000
1361,6,1075000
1426,5,1525000
650,2,600000
558,2,750000
1204,4,1251500
1190,5,886000
1712,6,1400000
767,3,850000
743,3,660000
757,4,590000
1379,4,1400000
1309,4,2050000
980,5,1005000
1287,5,1750000
823,3,823000
735,4,829000
1200,5,1225000
973,5,995000
3814,12,3703000
1400,6,860000
1482,7,865000
818,4,880000
1603,6,1430000
1080,5,1500000
954,5,1000000
1775,5,925000
1750,6,1403000
1840,8,1750000
936,3,830000
778,4,1150000
1214,7,969000
1483,6,1575000
1463,5,1410000
1769,5,2100000
1400,6,758000
1548,8,815000
945,4,880000
912,4,1222000
1836,6,1555000
950,4,1200000
1500,4,1560000
1668,7,1050000
933,4,1155000
1960,9,2532000
1806,8,3025000
1938,6,1380000
638,3,525000
2346,8,1600000
1640,6,1042000
1544,7,1280000
1205,8,1150000
1200,5,1200000
2939,9,2300000
1802,6,1992000
1620,6,1550000
1250,6,550000
1279,4,1460000
1225,6,1785000
3234,13,3200000
1125,5,800000
1404,9,1482000
1562,5,2275000
990,4,760000
1745,5,1595000
598,4,550000
1096,5,750000
2079,7,2925000
1628,7,2125000
4153,9,6500000
1062,4,899000
741,4,1230000
1375,5,2325000
1240,6,1120000
3436,17,1950000
1596,12,1259000
1554,5,1440000
1300,5,1300000
1850,6,1525000
1800,7,739500
2135,8,1625000
1750,5,1065000
1290,3,1500000
3523,8,5700000
8675,16,12500000
1700,7,500000
2700,8,850000
1490,5,1100000
1562,5,1152000
2914,11,2350000
6762,16,3330000
1,5,1485000
581,2,560000
960,3,1005000
1300,6,1009000
1200,5,825000
1456,6,1110000
1512,6,1380000
2500,9,3450000
4065,13,572000
1310,7,985000
1730,6,1515000
1250,7,1275000
731,3,735000
1126,4,560000
815,2,500000
1000,5,960000
615,2,575000
2025,8,1070000
2534,7,1838000
1850,8,2405000
950,5,925000
1200,5,490500
1116,5,675000
592,3,530000
1100,5,1030000
723,7,1450000
1860,10,2075000
1203,5,1500000
775,4,801000
899,3,1180000
1754,5,1240000
1000,6,1750000
1313,6,1000000
1248,4,1150000
1150,5,1705000
2003,8,830000
1450,8,1365000
600,2,455000
1700,8,1150000
2146,8,1355000
5625,18,2800000
1410,8,1075000
1960,8,1900000
1004,4,1060000
2568,7,2300000
1215,6,1525000
2175,7,3300000
